Date,Price
11/29/2022,720.53
11/28/2022,720.51
11/25/2022,722.93
11/24/2022,722.74
11/23/2022,721.45
11/22/2022,716.33
11/21/2022,710.38
11/18/2022,712.55
11/17/2022,708.38
11/16/2022,709.11
11/15/2022,716.43
11/14/2022,706.67
11/11/2022,702.91
11/10/2022,700.65
11/09/2022,677.26
11/08/2022,683.96
11/07/2022,676.06
11/04/2022,671.88
11/03/2022,661.18
11/02/2022,667.24
11/01/2022,673.32
10/31/2022,670.62
10/28/2022,667.52
10/27/2022,669.4
10/26/2022,665.63
10/25/2022,666.21
10/24/2022,653.54
10/21/2022,652.46
10/20/2022,652.04
10/19/2022,645.39
10/18/2022,642.48
10/17/2022,640.95
10/14/2022,630.58
10/13/2022,633.01
10/12/2022,631.18
10/11/2022,636.31
10/10/2022,641.21
10/07/2022,647.11
10/06/2022,661.38
10/05/2022,664.45
10/04/2022,669.59
10/03/2022,645.8
09/30/2022,640.62
09/29/2022,633.55
09/28/2022,641.09
09/27/2022,642.72
09/26/2022,640.41
09/23/2022,639.28
09/22/2022,657.4
09/21/2022,669.79
09/20/2022,661.61
09/19/2022,665.43
09/16/2022,664.83
09/15/2022,674.74
09/14/2022,680.86
09/13/2022,684.23
09/12/2022,696.87
09/09/2022,685.97
09/08/2022,674.4
09/07/2022,671.27
09/06/2022,675.27
09/05/2022,674.12
09/02/2022,678.57
09/01/2022,666.94
08/31/2022,680.31
08/30/2022,690.31
08/29/2022,698.33
08/26/2022,705.08
08/25/2022,718.25
08/24/2022,713.81
08/23/2022,710.87
08/22/2022,711.04
08/19/2022,719.52
08/18/2022,725.86
08/17/2022,723.09
08/16/2022,728.11
08/15/2022,728.88
08/12/2022,725.76
08/11/2022,725.79
08/10/2022,724.27
08/09/2022,716.93
08/08/2022,727.87
08/05/2022,722.74
08/04/2022,731.58
08/03/2022,734.53
08/02/2022,725.75
08/01/2022,728.18
07/29/2022,729.44
07/28/2022,722.38
07/27/2022,713.53
07/26/2022,706.26
07/25/2022,707.01
07/22/2022,705.04
07/21/2022,704.61
07/20/2022,694.41
07/19/2022,689.47
07/18/2022,681.1
07/15/2022,671.92
07/14/2022,659.71
07/13/2022,665.91
07/12/2022,670.68
07/11/2022,669.17
07/08/2022,674.22
07/07/2022,671.42
07/06/2022,656.71
07/05/2022,644.22
07/04/2022,659.61
07/01/2022,655.68
06/30/2022,659.23
06/29/2022,666.57
06/28/2022,669.01
06/27/2022,670.53
06/24/2022,660.32
06/23/2022,635.93
06/22/2022,641.87
06/21/2022,648.03
06/20/2022,641.43
06/17/2022,635.75
06/16/2022,638.34
06/15/2022,663.21
06/14/2022,652.87
06/13/2022,661.54
06/10/2022,681.97
06/09/2022,699.58
06/08/2022,710.99
06/07/2022,709.14
06/06/2022,711.82
06/03/2022,700.69
06/02/2022,703.44
06/01/2022,701.19
05/31/2022,712.88
05/30/2022,708.34
05/27/2022,702.28
05/26/2022,692.8
05/25/2022,684.11
05/24/2022,679.88
05/23/2022,694.02
05/20/2022,682.96
05/19/2022,678.35
05/18/2022,693.03
05/17/2022,702.58
05/16/2022,694.62
05/13/2022,694.13
05/12/2022,675.09
05/11/2022,682.7
05/10/2022,669.74
05/09/2022,666.17
05/06/2022,682.19
05/05/2022,696.19
05/04/2022,698.68
05/03/2022,705.95
05/02/2022,694.44
04/29/2022,710.98
04/28/2022,705.93
04/27/2022,696.35
04/26/2022,695.57
04/25/2022,699.17
04/22/2022,717.26
04/21/2022,729.05
04/20/2022,725.61
04/19/2022,716.57
04/14/2022,719.7
04/13/2022,718.07
04/12/2022,716.38
04/11/2022,714.74
04/08/2022,724.75
04/07/2022,716.53
04/06/2022,719.67
04/05/2022,736.02
04/04/2022,737.8
04/01/2022,728
03/31/2022,724.2
03/30/2022,733.88
03/29/2022,735.15
03/28/2022,720.36
03/25/2022,723.9
03/24/2022,720.85
03/23/2022,721.81
03/22/2022,728.27
03/21/2022,718.37
03/18/2022,716.36
03/17/2022,707.45
03/16/2022,703.52
03/15/2022,676.38
03/14/2022,674.3
03/11/2022,674.8
03/10/2022,671.85
03/09/2022,688.33
03/08/2022,656.74
03/07/2022,669.04
03/04/2022,671.73
03/03/2022,705.42
03/02/2022,721
03/01/2022,713.46
02/28/2022,729.72
02/25/2022,727.85
02/24/2022,708.55
02/23/2022,727.91
02/22/2022,731.96
02/21/2022,729.73
02/18/2022,744.89
02/17/2022,751.2
02/16/2022,758.92
02/15/2022,755.22
02/14/2022,747.89
02/11/2022,761.5
02/10/2022,762.65
02/09/2022,769.94
02/08/2022,755.79
02/07/2022,755.69
02/04/2022,747.17
02/03/2022,748.81
02/02/2022,765.56
02/01/2022,765.22
01/31/2022,755.2
01/28/2022,744.26
01/27/2022,753.79
01/26/2022,752.43
01/25/2022,739.86
01/24/2022,738.66
01/21/2022,763.7
01/20/2022,778.26
01/19/2022,772.56
01/18/2022,769.7
01/17/2022,781.32
01/14/2022,783.53
01/13/2022,791.33
01/12/2022,790.44
01/11/2022,782.35
01/10/2022,773.13
01/07/2022,788.43
01/06/2022,785.9
01/05/2022,800.75
01/04/2022,804.28
01/03/2022,803.31
