Date,Price
2022.11.29,16276.8
2022.11.28,16211.7
2022.11.27,16425.6
2022.11.26,16456.5
2022.11.25,16512.3
2022.11.24,16601.2
2022.11.23,16623.9
2022.11.22,16212.9
2022.11.21,15776.2
2022.11.20,16286.7
2022.11.19,16699.2
2022.11.18,16638.3
2022.11.17,16691.2
2022.11.16,16540.5
2022.11.15,16895.1
2022.11.14,16613.7
2022.11.13,16324.5
2022.11.12,16795.2
2022.11.11,17049.9
2022.11.10,17589.1
2022.11.9,15886.9
2022.11.8,18527.4
2022.11.7,20589
2022.11.6,20916.3
2022.11.5,21301.6
2022.11.4,21145.9
2022.11.3,20206.4
2022.11.2,20154.4
2022.11.1,20483.5
2022.10.31,20496.3
2022.10.30,20626.3
2022.10.29,20809.8
2022.10.28,20594.4
2022.10.27,20292.9
2022.10.26,20769.5
2022.10.25,20082.7
2022.10.24,19331.5
2022.10.23,19571.2
2022.10.22,19204.8
2022.10.21,19162.6
2022.10.20,19042.9
2022.10.19,19123.9
2022.10.18,19328.2
2022.10.17,19548.2
2022.10.16,19261.9
2022.10.15,19068.7
2022.10.14,19181.8
2022.10.13,19379.8
2022.10.12,19154.8
2022.10.11,19059.1
2022.10.10,19134.6
2022.10.9,19441
2022.10.8,19415
2022.10.7,19531.3
2022.10.6,19956.7
2022.10.5,20157.5
2022.10.4,20340.2
2022.10.3,19628.3
2022.10.2,19052.2
2022.10.1,19311.9
2022.9.30,19423
2022.9.29,19593
2022.9.28,19411
2022.9.27,19081
2022.9.26,19225.7
2022.9.25,18803.2
2022.9.24,18925.2
2022.9.23,19293.5
2022.9.22,19404
2022.9.21,18489
2022.9.20,18872.4
2022.9.19,19538.9
2022.9.18,19418.8
2022.9.17,20113.5
2022.9.16,19802.4
2022.9.15,19701.7
2022.9.14,20222.5
2022.9.13,20175.5
2022.9.12,22395.3
2022.9.11,21834.9
2022.9.10,21650.4
2022.9.9,21365.2
2022.9.8,19317.4
2022.9.7,19281.5
2022.9.6,18786.4
2022.9.5,19793.1
2022.9.4,19999.9
2022.9.3,19831.4
2022.9.2,19952.7
2022.9.1,20126.1
2022.8.31,20043.9
2022.8.30,19792.6
2022.8.29,20295.8
2022.8.28,19550.2
2022.8.27,20033.9
2022.8.26,20249.9
2022.8.25,21565.4
2022.8.24,21365.2
2022.8.23,21517.2
2022.8.22,21416.3
2022.8.21,21517.2
2022.8.20,21138.9
2022.8.19,20831.3
2022.8.18,23203.6
2022.8.17,23338
2022.8.16,23856.8
2022.8.15,24101.7
2022.8.14,24302.8
2022.8.13,24442.5
2022.8.12,24398.7
2022.8.11,23935.3
2022.8.10,23962.9
2022.8.9,23146.7
2022.8.8,23816.3
2022.8.7,23175.3
2022.8.6,22944.2
2022.8.5,23308.2
2022.8.4,22612.1
2022.8.3,22820.8
2022.8.2,22988.6
2022.8.1,23271.2
2022.7.31,23303.4
2022.7.30,23634.2
2022.7.29,23774.3
2022.7.28,23850
2022.7.27,22958.3
2022.7.26,21248.7
2022.7.25,21301.9
2022.7.24,22582.1
2022.7.23,22460.4
2022.7.22,22675.2
2022.7.21,23153
2022.7.20,23215.2
2022.7.19,23410.2
2022.7.18,22525.8
2022.7.17,20785.6
2022.7.16,21209.9
2022.7.15,20825.1
2022.7.14,20586
2022.7.13,20250
2022.7.12,19330.9
2022.7.11,19963.2
2022.7.10,20847.4
2022.7.9,21587.5
2022.7.8,21611.2
2022.7.7,21637.8
2022.7.6,20561.1
2022.7.5,20200.6
2022.7.4,20215.8
2022.7.3,19309.9
2022.7.2,19243.2
2022.7.1,19262.9
2022.6.30,19926.6
2022.6.29,20111.3
2022.6.28,20278
2022.6.27,20730.2
2022.6.26,21043.5
2022.6.25,21489.9
2022.6.24,21226.9
2022.6.23,21100.7
2022.6.22,19965.8
2022.6.21,20720.4
2022.6.20,20572.3
2022.6.19,20577.2
2022.6.18,18986.5
2022.6.17,20444.6
2022.6.16,20386.6
2022.6.15,22577.9
2022.6.14,22157.3
2022.6.13,22448
2022.6.12,26606.3
2022.6.11,28403.4
2022.6.10,29083.3
2022.6.9,30097.8
2022.6.8,30201.6
2022.6.7,31128.8
2022.6.6,31367.6
2022.6.5,29913
2022.6.4,29864.3
2022.6.3,29700.9
2022.6.2,30455.5
2022.6.1,29798.5
2022.5.31,31793.4
2022.5.30,31723.3
2022.5.29,29465.2
2022.5.28,29027.1
2022.5.27,28601.2
2022.5.26,29203.5
2022.5.25,29540.6
2022.5.24,29648.7
2022.5.23,29093.3
2022.5.22,30286.6
2022.5.21,29434.6
2022.5.20,29178.6
2022.5.19,30305.9
2022.5.18,28683.7
2022.5.17,30437.5
2022.5.16,29849
2022.5.15,31308.7
2022.5.14,30080.4
2022.5.13,29284.4
2022.5.12,28976
2022.5.11,29068.2
2022.5.10,31007.5
2022.5.9,30095
2022.5.8,34060
2022.5.7,35468
2022.5.6,36009
2022.5.5,36544
2022.5.4,39688
2022.5.3,37718
2022.5.2,38514
2022.5.1,38461
2022.4.30,37650
2022.4.29,38581
2022.4.28,39748
2022.4.27,39243
2022.4.26,38113
2022.4.25,40427
2022.4.24,39464
2022.4.23,39418
2022.4.22,39709
2022.4.21,40482
2022.4.20,41368
2022.4.19,41503
2022.4.18,40803
2022.4.17,39703
2022.4.16,40382
2022.4.15,40560
2022.4.14,39936
2022.4.13,41133
2022.4.12,40078
2022.4.11,39497
2022.4.10,42138
2022.4.9,42767
2022.4.8,42275
2022.4.7,43448
2022.4.6,43173
2022.4.5,45506
2022.4.4,46629
2022.4.3,46407
2022.4.2,45811
2022.4.1,46297
2022.3.31,45525
2022.3.30,47075
2022.3.29,47449
2022.3.28,47105
2022.3.27,46859
2022.3.26,44548
2022.3.25,44331
2022.3.24,44013
2022.3.23,42912
2022.3.22,42373
2022.3.21,41022
2022.3.20,41276
2022.3.19,42233
2022.3.18,41767.8
2022.3.17,40914.8
2022.3.16,41118.7
2022.3.15,39285.7
2022.3.14,39671.1
2022.3.13,37792.4
2022.3.12,38814.3
2022.3.11,38730.2
2022.3.10,39416.3
2022.3.9,41929
2022.3.8,38744.8
2022.3.7,38024.8
2022.3.6,38403.1
2022.3.5,39395.8
2022.3.4,39142.7
2022.3.3,42463
2022.3.2,43912.8
2022.3.1,44420.3
2022.2.28,43188.2
2022.2.27,37689.1
2022.2.26,39115.5
2022.2.25,39209.6
2022.2.24,38339.2
2022.2.23,37224.6
2022.2.22,38248.2
2022.2.21,37017.7
2022.2.20,38355
2022.2.19,40090.3
2022.2.18,40000.1
2022.2.17,40552.8
2022.2.16,43883.6
2022.2.15,44544.4
2022.2.14,42550.3
2022.2.13,42061.1
2022.2.12,42205.2
2022.2.11,42388.4
2022.2.10,43521
2022.2.9,44388.9
2022.2.8,44038.2
2022.2.7,43833.9
2022.2.6,42392.2
2022.2.5,41412.1
2022.2.4,41567.6
2022.2.3,37287.8
2022.2.2,36890.2
2022.2.1,38709.7
2022.1.31,38498.6
2022.1.30,37917.7
2022.1.29,38170.8
2022.1.28,37745.1
2022.1.27,37164.3
2022.1.26,36800.4
2022.1.25,36950.6
2022.1.24,36686.3
2022.1.23,36269.5
2022.1.22,35075.2
2022.1.21,36475.5
2022.1.20,40715.9
2022.1.19,41677.8
2022.1.18,42364.6
2022.1.17,42209.3
2022.1.16,43079.1
2022.1.15,43097
2022.1.14,43073.3
2022.1.13,42560
2022.1.12,43901
2022.1.11,42733.2
2022.1.10,41832.2
2022.1.9,41848.3
2022.1.8,41672
2022.1.7,41546.7
2022.1.6,43097.5
2022.1.5,43425.9
2022.1.4,45837.3
2022.1.3,46430.2
2022.1.2,47311.8
2022.1.1,47738
