Date,Price
11/29/2022,14363.65
11/28/2022,14383.36
11/25/2022,14541.38
11/24/2022,14539.56
11/23/2022,14427.59
11/22/2022,14422.35
11/21/2022,14379.93
11/18/2022,14431.86
11/17/2022,14266.38
11/16/2022,14234.03
11/15/2022,14378.51
11/14/2022,14313.3
11/11/2022,14224.86
11/10/2022,14146.09
11/09/2022,13666.32
11/08/2022,13688.75
11/07/2022,13533.52
11/04/2022,13459.85
11/03/2022,13130.19
11/02/2022,13256.74
11/01/2022,13338.74
10/31/2022,13253.74
10/28/2022,13243.33
10/27/2022,13211.23
10/26/2022,13195.81
10/25/2022,13052.96
10/24/2022,12931.45
10/21/2022,12730.9
10/20/2022,12767.41
10/19/2022,12741.41
10/18/2022,12765.61
10/17/2022,12649.03
10/14/2022,12437.81
10/13/2022,12355.58
10/12/2022,12172.26
10/11/2022,12220.25
10/10/2022,12272.94
10/07/2022,12273
10/06/2022,12470.78
10/05/2022,12517.18
10/04/2022,12670.48
10/03/2022,12209.48
09/30/2022,12114.36
09/29/2022,11975.55
09/28/2022,12183.28
09/27/2022,12139.68
09/26/2022,12227.92
09/23/2022,12284.19
09/22/2022,12531.63
09/21/2022,12767.15
09/20/2022,12670.83
09/19/2022,12803.24
09/16/2022,12741.26
09/15/2022,12956.66
09/14/2022,13028
09/13/2022,13188.95
09/12/2022,13402.27
09/09/2022,13088.21
09/08/2022,12904.32
09/07/2022,12915.97
09/06/2022,12871.44
09/05/2022,12760.78
09/02/2022,13050.27
09/01/2022,12630.23
08/31/2022,12834.96
08/30/2022,12961.14
08/29/2022,12892.99
08/26/2022,12971.47
08/25/2022,13271.96
08/24/2022,13220.06
08/23/2022,13194.23
08/22/2022,13230.57
08/19/2022,13544.52
08/18/2022,13697.41
08/17/2022,13626.71
08/16/2022,13910.12
08/15/2022,13816.61
08/12/2022,13795.85
08/11/2022,13694.51
08/10/2022,13700.93
08/09/2022,13534.97
08/08/2022,13687.69
08/05/2022,13573.93
08/04/2022,13662.68
08/03/2022,13587.56
08/02/2022,13449.2
08/01/2022,13479.63
07/29/2022,13484.05
07/28/2022,13282.11
07/27/2022,13166.38
07/26/2022,13096.93
07/25/2022,13210.32
07/22/2022,13253.68
07/21/2022,13246.64
07/20/2022,13281.98
07/19/2022,13308.41
07/18/2022,12959.81
07/15/2022,12864.72
07/14/2022,12519.66
07/13/2022,12756.32
07/12/2022,12905.48
07/11/2022,12832.44
07/08/2022,13015.23
07/07/2022,12843.22
07/06/2022,12594.52
07/05/2022,12401.2
07/04/2022,12773.38
07/01/2022,12813.03
06/30/2022,12783.77
06/29/2022,13003.35
06/28/2022,13231.82
06/27/2022,13186.07
06/24/2022,13118.13
06/23/2022,12912.59
06/22/2022,13144.28
06/21/2022,13292.4
06/20/2022,13265.6
06/17/2022,13126.26
06/16/2022,13038.49
06/15/2022,13485.29
06/14/2022,13304.39
06/13/2022,13427.03
06/10/2022,13761.83
06/09/2022,14198.8
06/08/2022,14445.99
06/07/2022,14556.62
06/06/2022,14653.81
06/03/2022,14460.09
06/02/2022,14485.17
06/01/2022,14340.47
05/31/2022,14388.35
05/30/2022,14575.98
05/27/2022,14462.19
05/26/2022,14231.29
05/25/2022,14007.93
05/24/2022,13919.75
05/23/2022,14175.4
05/20/2022,13981.91
05/19/2022,13882.3
05/18/2022,14007.76
05/17/2022,14185.94
05/16/2022,13964.38
05/13/2022,14027.93
05/12/2022,13739.64
05/11/2022,13828.64
05/10/2022,13534.74
05/09/2022,13380.67
05/06/2022,13674.29
05/05/2022,13902.52
05/04/2022,13970.82
05/03/2022,14039.47
05/02/2022,13939.07
04/29/2022,14097.88
04/28/2022,13979.84
04/27/2022,13793.94
04/26/2022,13756.4
04/25/2022,13924.17
04/22/2022,14142.09
04/21/2022,14502.41
04/20/2022,14362.03
04/19/2022,14153.46
04/14/2022,14163.85
04/13/2022,14076.44
04/12/2022,14124.95
04/11/2022,14192.78
04/08/2022,14283.67
04/07/2022,14078.15
04/06/2022,14151.69
04/05/2022,14424.36
04/04/2022,14518.16
04/01/2022,14446.48
03/31/2022,14414.75
03/30/2022,14606.05
03/29/2022,14820.33
03/28/2022,14417.37
03/25/2022,14305.76
03/24/2022,14273.79
03/23/2022,14283.65
03/22/2022,14473.2
03/21/2022,14326.97
03/18/2022,14413.09
03/17/2022,14388.06
03/16/2022,14440.74
03/15/2022,13917.27
03/14/2022,13929.11
03/11/2022,13628.11
03/10/2022,13442.1
03/09/2022,13847.93
03/08/2022,12831.51
03/07/2022,12834.65
03/04/2022,13094.54
03/03/2022,13698.4
03/02/2022,14000.11
03/01/2022,13904.85
02/28/2022,14461.02
02/25/2022,14567.23
02/24/2022,14052.1
02/23/2022,14631.36
02/22/2022,14693
02/21/2022,14731.12
02/18/2022,15042.51
02/17/2022,15267.63
02/16/2022,15370.3
02/15/2022,15412.71
02/14/2022,15113.97
02/11/2022,15425.12
02/10/2022,15490.44
02/09/2022,15482.01
02/08/2022,15242.38
02/07/2022,15206.64
02/04/2022,15099.56
02/03/2022,15368.47
02/02/2022,15613.77
02/01/2022,15619.39
01/31/2022,15471.2
01/28/2022,15318.95
01/27/2022,15524.27
01/26/2022,15459.39
01/25/2022,15123.87
01/24/2022,15011.13
01/21/2022,15603.88
01/20/2022,15912.33
01/19/2022,15809.72
01/18/2022,15772.56
01/17/2022,15933.72
01/14/2022,15883.24
01/13/2022,16031.59
01/12/2022,16010.32
01/11/2022,15941.81
01/10/2022,15768.27
01/07/2022,15947.74
01/06/2022,16052.03
01/05/2022,16271.75
01/04/2022,16152.61
01/03/2022,16020.73
