Date,Price
2022.11.29,1185.51
2022.11.28,1167.73
2022.11.27,1193.38
2022.11.26,1205.15
2022.11.25,1198.12
2022.11.24,1203.77
2022.11.23,1185.79
2022.11.22,1139.74
2022.11.21,1107.46
2022.11.20,1142.88
2022.11.19,1217.65
2022.11.18,1207.31
2022.11.17,1205.17
2022.11.16,1206.16
2022.11.15,1253.45
2022.11.14,1242.64
2022.11.13,1221.47
2022.11.12,1256.29
2022.11.11,1288.63
2022.11.10,1299.15
2022.11.9,1100.84
2022.11.8,1335.25
2022.11.7,1567.57
2022.11.6,1570.86
2022.11.5,1627.07
2022.11.4,1645.01
2022.11.3,1531.08
2022.11.2,1519.04
2022.11.1,1579.64
2022.10.31,1572.89
2022.10.30,1590.47
2022.10.29,1619.69
2022.10.28,1554.47
2022.10.27,1514.19
2022.10.26,1566.16
2022.10.25,1459.6
2022.10.24,1343.88
2022.10.23,1363.92
2022.10.22,1313.64
2022.10.21,1299.76
2022.10.20,1282.87
2022.10.19,1285.32
2022.10.18,1310.81
2022.10.17,1331.12
2022.10.16,1305.95
2022.10.15,1274.57
2022.10.14,1296.74
2022.10.13,1287.34
2022.10.12,1294.57
2022.10.11,1279.97
2022.10.10,1290.04
2022.10.9,1323.41
2022.10.8,1315.05
2022.10.7,1330.99
2022.10.6,1352.27
2022.10.5,1352.07
2022.10.4,1361.48
2022.10.3,1323.41
2022.10.2,1275.74
2022.10.1,1311.8
2022.9.30,1328.73
2022.9.29,1336.08
2022.9.28,1337.37
2022.9.27,1328.23
2022.9.26,1337.06
2022.9.25,1294.26
2022.9.24,1317
2022.9.23,1327.96
2022.9.22,1326.44
2022.9.21,1247.74
2022.9.20,1323.33
2022.9.19,1376
2022.9.18,1335.01
2022.9.17,1468.79
2022.9.16,1434.01
2022.9.15,1472.64
2022.9.14,1637.92
2022.9.13,1574.47
2022.9.12,1716.42
2022.9.11,1766.93
2022.9.10,1774.38
2022.9.9,1718.81
2022.9.8,1634.85
2022.9.7,1629.51
2022.9.6,1557.85
2022.9.5,1617.07
2022.9.4,1578.89
2022.9.3,1557.55
2022.9.2,1575.34
