Date,Price
11/28/2022,3935.51
11/25/2022,3962.41
11/24/2022,3961.99
11/23/2022,3946.44
11/22/2022,3929.9
11/21/2022,3909.28
11/18/2022,3924.84
11/17/2022,3878.42
11/16/2022,3882.78
11/15/2022,3915.09
11/14/2022,3887.51
11/11/2022,3868.5
11/10/2022,3846.56
11/09/2022,3728.03
11/08/2022,3739.28
11/07/2022,3708.8
11/04/2022,3688.33
11/03/2022,3593.18
11/02/2022,3622.01
11/01/2022,3651.02
10/31/2022,3617.54
10/28/2022,3613.02
10/27/2022,3604.51
10/26/2022,3605.31
10/25/2022,3585.58
10/24/2022,3527.79
10/21/2022,3476.63
10/20/2022,3492.85
10/19/2022,3471.24
10/18/2022,3463.83
10/17/2022,3441.64
10/14/2022,3381.73
10/13/2022,3362.4
10/12/2022,3331.53
10/11/2022,3340.35
10/10/2022,3356.88
10/07/2022,3375.46
10/06/2022,3433.45
10/05/2022,3447.72
10/04/2022,3484.48
10/03/2022,3342.17
09/30/2022,3318.2
09/29/2022,3279.04
09/28/2022,3335.3
09/27/2022,3328.65
09/26/2022,3342.56
09/23/2022,3348.6
09/22/2022,3427.14
09/21/2022,3491.87
09/20/2022,3467.09
09/19/2022,3499.49
09/16/2022,3500.41
09/15/2022,3541.79
09/14/2022,3567.56
09/13/2022,3586.18
09/12/2022,3646.51
09/09/2022,3570.04
09/08/2022,3512.38
09/07/2022,3502.09
09/06/2022,3500.14
09/05/2022,3490.01
09/02/2022,3544.38
09/01/2022,3456.7
08/31/2022,3517.25
08/30/2022,3561.92
08/29/2022,3570.51
08/26/2022,3603.68
08/25/2022,3674.54
08/24/2022,3667.46
08/23/2022,3652.52
08/22/2022,3658.22
08/19/2022,3730.32
08/18/2022,3777.38
08/17/2022,3756.06
08/16/2022,3805.22
08/15/2022,3789.62
08/12/2022,3776.81
08/11/2022,3757.05
08/10/2022,3749.35
08/09/2022,3715.37
08/08/2022,3757.22
08/05/2022,3725.39
08/04/2022,3754.6
08/03/2022,3732.54
08/02/2022,3684.63
08/01/2022,3706.62
07/29/2022,3708.1
07/28/2022,3652.2
07/27/2022,3607.78
07/26/2022,3575.36
07/25/2022,3604.16
07/22/2022,3596.49
07/21/2022,3596.51
07/20/2022,3585.24
07/19/2022,3587.44
07/18/2022,3511.86
07/15/2022,3477.2
07/14/2022,3396.61
07/13/2022,3453.97
07/12/2022,3487.05
07/11/2022,3471.69
07/08/2022,3506.55
07/07/2022,3488.5
07/06/2022,3421.84
07/05/2022,3359.83
07/04/2022,3452.42
07/01/2022,3448.31
06/30/2022,3454.86
06/29/2022,3514.32
06/28/2022,3549.29
06/27/2022,3538.88
06/24/2022,3533.17
06/23/2022,3436.29
06/22/2022,3464.64
06/21/2022,3494
06/20/2022,3469.83
06/17/2022,3438.46
06/16/2022,3427.91
06/15/2022,3532.32
06/14/2022,3475.18
06/13/2022,3502.5
06/10/2022,3599.2
06/09/2022,3724.45
06/08/2022,3788.93
06/07/2022,3806.74
06/06/2022,3838.42
06/03/2022,3783.66
06/02/2022,3795.13
06/01/2022,3759.54
05/31/2022,3789.21
05/30/2022,3841.62
05/27/2022,3808.86
05/26/2022,3740.31
05/25/2022,3677.1
05/24/2022,3647.56
05/23/2022,3708.39
05/20/2022,3657.03
05/19/2022,3640.55
05/18/2022,3690.74
05/17/2022,3741.51
05/16/2022,3685.34
05/13/2022,3703.42
05/12/2022,3613.43
05/11/2022,3647.87
05/10/2022,3554.8
05/09/2022,3526.86
05/06/2022,3629.17
05/05/2022,3696.63
05/04/2022,3724.99
05/03/2022,3761.19
05/02/2022,3732.44
04/29/2022,3802.86
04/28/2022,3777.02
04/27/2022,3734.64
04/26/2022,3721.36
04/25/2022,3757.59
04/22/2022,3840.01
04/21/2022,3928.03
04/20/2022,3896.81
04/19/2022,3830.76
04/14/2022,3848.68
04/13/2022,3827.96
04/12/2022,3831.47
04/11/2022,3839.62
04/08/2022,3858.37
04/07/2022,3802.01
04/06/2022,3824.69
04/05/2022,3917.85
04/04/2022,3951.12
04/01/2022,3918.68
03/31/2022,3902.52
03/30/2022,3959.14
03/29/2022,4002.18
03/28/2022,3887.1
03/25/2022,3867.73
03/24/2022,3863.39
03/23/2022,3869.22
03/22/2022,3926.12
03/21/2022,3881.8
03/18/2022,3902.44
03/17/2022,3885.32
03/16/2022,3889.69
03/15/2022,3738.11
03/14/2022,3741.1
03/11/2022,3686.78
03/10/2022,3651.39
03/09/2022,3766.02
03/08/2022,3505.29
03/07/2022,3512.22
03/04/2022,3556.01
03/03/2022,3741.78
03/02/2022,3820.59
03/01/2022,3765.85
02/28/2022,3924.23
02/25/2022,3970.69
02/24/2022,3829.29
02/23/2022,3973.41
02/22/2022,3985.47
02/21/2022,3985.71
02/18/2022,4074.28
02/17/2022,4113.19
02/16/2022,4137.22
02/15/2022,4143.71
02/14/2022,4064.45
02/11/2022,4155.23
02/10/2022,4197.07
02/09/2022,4204.09
02/08/2022,4129.25
02/07/2022,4120.56
02/04/2022,4086.58
02/03/2022,4141.02
02/02/2022,4222.05
02/01/2022,4224.45
01/31/2022,4174.6
01/28/2022,4136.91
01/27/2022,4184.97
01/26/2022,4164.6
01/25/2022,4078.26
01/24/2022,4054.36
01/21/2022,4229.56
01/20/2022,4299.61
01/19/2022,4268.28
01/18/2022,4257.82
01/17/2022,4302.14
01/14/2022,4272.19
01/13/2022,4315.9
01/12/2022,4316.39
01/11/2022,4281.54
01/10/2022,4239.52
01/07/2022,4305.83
01/06/2022,4324.81
01/05/2022,4392.15
01/04/2022,4367.62
01/03/2022,4331.82
