Date,Price
11/28/2022,11049.5
11/25/2022,11228.76
11/23/2022,11285.32
11/22/2022,11174.41
11/21/2022,11024.51
11/18/2022,11146.06
11/17/2022,11144.96
11/16/2022,11183.66
11/15/2022,11358.41
11/14/2022,11196.22
11/11/2022,11323.33
11/10/2022,11114.15
11/09/2022,10353.17
11/08/2022,10616.2
11/07/2022,10564.52
11/04/2022,10475.25
11/03/2022,10342.94
11/02/2022,10524.8
11/01/2022,10890.84
10/31/2022,10988.15
10/28/2022,11102.45
10/27/2022,10792.67
10/26/2022,10970.99
10/25/2022,11199.12
10/24/2022,10952.61
10/21/2022,10859.72
10/20/2022,10614.84
10/19/2022,10680.51
10/18/2022,10772.4
10/17/2022,10675.8
10/14/2022,10321.39
10/13/2022,10649.15
10/12/2022,10417.1
10/11/2022,10426.19
10/10/2022,10542.1
10/07/2022,10652.41
10/06/2022,11073.31
10/05/2022,11148.64
10/04/2022,11176.41
10/03/2022,10815.43
09/30/2022,10575.62
09/29/2022,10737.51
09/28/2022,11051.64
09/27/2022,10829.5
09/26/2022,10802.92
09/23/2022,10867.93
09/22/2022,11066.8
09/21/2022,11220.19
09/20/2022,11425.05
09/19/2022,11535.02
09/16/2022,11448.4
09/15/2022,11552.36
09/14/2022,11719.68
09/13/2022,11633.57
09/12/2022,12266.41
09/09/2022,12112.31
09/08/2022,11862.13
09/07/2022,11791.9
09/06/2022,11544.91
09/02/2022,11630.86
09/01/2022,11785.13
08/31/2022,11816.2
08/30/2022,11883.14
08/29/2022,12017.67
08/26/2022,12141.71
08/25/2022,12639.26
08/24/2022,12431.53
08/23/2022,12381.3
08/22/2022,12381.57
08/19/2022,12705.21
08/18/2022,12965.34
08/17/2022,12938.12
08/16/2022,13102.55
08/15/2022,13128.05
08/12/2022,13047.19
08/11/2022,12779.91
08/10/2022,12854.8
08/09/2022,12493.93
08/08/2022,12644.46
08/05/2022,12657.55
08/04/2022,12720.58
08/03/2022,12668.16
08/02/2022,12348.76
08/01/2022,12368.98
07/29/2022,12390.69
07/28/2022,12162.59
07/27/2022,12032.42
07/26/2022,11562.58
07/25/2022,11782.67
07/22/2022,11834.11
07/21/2022,12059.61
07/20/2022,11897.65
07/19/2022,11713.15
07/18/2022,11360.05
07/15/2022,11452.42
07/14/2022,11251.18
07/13/2022,11247.58
07/12/2022,11264.73
07/11/2022,11372.6
07/08/2022,11635.31
07/07/2022,11621.35
07/06/2022,11361.85
07/05/2022,11322.24
07/01/2022,11127.84
06/30/2022,11028.74
06/29/2022,11177.89
06/28/2022,11181.54
06/27/2022,11524.55
06/24/2022,11607.62
06/23/2022,11232.19
06/22/2022,11053.08
06/21/2022,11069.3
06/17/2022,10798.35
06/16/2022,10646.1
06/15/2022,11099.16
06/14/2022,10828.34
06/13/2022,10809.22
06/10/2022,11340.02
06/09/2022,11754.23
06/08/2022,12086.27
06/07/2022,12175.23
06/06/2022,12061.37
06/03/2022,12012.73
06/02/2022,12316.9
06/01/2022,11994.46
05/31/2022,12081.39
05/27/2022,12131.13
05/26/2022,11740.65
05/25/2022,11434.74
05/24/2022,11264.45
05/23/2022,11535.28
05/20/2022,11354.62
05/19/2022,11388.5
05/18/2022,11418.15
05/17/2022,11984.52
05/16/2022,11662.79
05/13/2022,11805
05/12/2022,11370.96
05/11/2022,11364.24
05/10/2022,11737.67
05/09/2022,11623.25
05/06/2022,12144.66
05/05/2022,12317.69
05/04/2022,12964.86
05/03/2022,12563.76
05/02/2022,12536.02
04/29/2022,12334.64
04/28/2022,12871.53
04/27/2022,12488.93
04/26/2022,12490.74
04/25/2022,13004.85
04/22/2022,12839.29
04/21/2022,13174.65
04/20/2022,13453.07
04/19/2022,13619.66
04/18/2022,13332.36
04/14/2022,13351.08
04/13/2022,13643.59
04/12/2022,13371.57
04/11/2022,13411.96
04/08/2022,13711
04/07/2022,13897.3
04/06/2022,13888.82
04/05/2022,14204.17
04/04/2022,14532.55
04/01/2022,14261.5
03/31/2022,14220.52
03/30/2022,14442.28
03/29/2022,14619.64
03/28/2022,14354.9
03/25/2022,14169.3
03/24/2022,14191.84
03/23/2022,13922.6
03/22/2022,14108.82
03/21/2022,13838.46
03/18/2022,13893.84
03/17/2022,13614.78
03/16/2022,13436.55
03/15/2022,12948.62
03/14/2022,12581.22
03/11/2022,12843.81
03/10/2022,13129.96
03/09/2022,13255.55
03/08/2022,12795.55
03/07/2022,12830.96
03/04/2022,13313.44
03/03/2022,13537.94
03/02/2022,13752.02
03/01/2022,13532.46
02/28/2022,13751.4
02/25/2022,13694.62
02/24/2022,13473.58
02/23/2022,13037.49
02/22/2022,13381.52
02/18/2022,13548.07
02/17/2022,13716.72
02/16/2022,14124.09
02/15/2022,14139.76
02/14/2022,13790.92
02/11/2022,13791.15
02/10/2022,14185.64
02/09/2022,14490.37
02/08/2022,14194.46
02/07/2022,14015.67
02/04/2022,14098.01
02/03/2022,13878.82
02/02/2022,14417.55
02/01/2022,14346
01/31/2022,14239.88
01/28/2022,13770.57
01/27/2022,13352.78
01/26/2022,13542.12
01/25/2022,13539.29
01/24/2022,13855.13
01/21/2022,13768.92
01/20/2022,14154.02
01/19/2022,14340.25
01/18/2022,14506.9
01/14/2022,14893.75
01/13/2022,14806.81
01/12/2022,15188.39
01/11/2022,15153.45
01/10/2022,14942.83
01/07/2022,14935.9
01/06/2022,15080.87
01/05/2022,15100.17
01/04/2022,15622.72
01/03/2022,15832.8
