Date,Price
11.28.2022,519.2
11.25.2022,519.2
11.24.2022,519.2
11.23.2022,519.2
11.22.2022,519.2
11.21.2022,519.2
11.18.2022,519.2
11.17.2022,519.2
11.16.2022,519.2
11.15.2022,519.2
11.14.2022,519.2
11.11.2022,519.2
11.10.2022,519.2
11.09.2022,519.2
11.08.2022,519.2
11.07.2022,519.2
11.04.2022,519.2
11.03.2022,519.2
11.02.2022,519.2
11.01.2022,519.2
10.31.2022,519.2
10.28.2022,519.2
10.27.2022,519.2
10.26.2022,519.2
10.25.2022,519.2
10.24.2022,519.2
10.21.2022,519.2
10.20.2022,519.2
10.19.2022,519.2
10.18.2022,519.2
10.17.2022,519.2
10.14.2022,519.2
10.13.2022,519.2
10.11.2022,519.2
10.10.2022,519.2
10.07.2022,519.2
10.06.2022,519.2
10.05.2022,519.2
10.04.2022,519.2
10.03.2022,519.2
09.30.2022,519.2
09.29.2022,519.2
09.28.2022,519.2
09.27.2022,519.2
09.26.2022,519.2
09.23.2022,519.2
09.22.2022,519.2
09.21.2022,519.2
09.20.2022,519.2
09.19.2022,519.2
09.16.2022,519.2
09.15.2022,519.2
09.14.2022,519.2
09.13.2022,519.2
09.12.2022,519.2
09.09.2022,519.2
09.08.2022,519.2
09.07.2022,519.2
09.06.2022,519.2
09.05.2022,519.2
09.02.2022,519.2
09.01.2022,519.2
08.31.2022,519.2
08.30.2022,519.2
08.29.2022,519.2
08.26.2022,519.2
08.25.2022,519.2
08.24.2022,519.2
08.23.2022,519.2
08.22.2022,519.2
08.19.2022,519.2
08.18.2022,519.2
08.17.2022,519.2
08.16.2022,519.2
08.15.2022,519.2
08.12.2022,519.2
08.11.2022,519.2
08.10.2022,519.2
08.09.2022,519.2
08.08.2022,519.2
08.05.2022,519.2
08.04.2022,519.2
08.03.2022,519.2
08.02.2022,519.2
08.01.2022,519.2
07.29.2022,519.2
07.26.2022,519.2
07.25.2022,519.2
07.22.2022,519.2
07.21.2022,519.2
07.20.2022,519.2
07.19.2022,519.2
07.18.2022,519.2
07.15.2022,519.2
07.14.2022,519.2
07.13.2022,519.2
07.12.2022,519.2
07.11.2022,519.2
07.08.2022,519.2
07.07.2022,519.2
07.06.2022,519.2
07.05.2022,519.2
07.04.2022,519.2
07.01.2022,519.2
06.30.2022,519.2
06.29.2022,519.2
06.28.2022,519.2
06.27.2022,519.2
06.24.2022,519.2
06.23.2022,519.2
06.22.2022,519.2
06.21.2022,519.2
06.20.2022,519.2
06.17.2022,519.2
06.16.2022,519.2
06.15.2022,519.2
06.14.2022,519.2
06.13.2022,519.2
06.10.2022,519.2
06.09.2022,519.2
06.08.2022,519.2
06.07.2022,519.2
06.06.2022,519.2
06.03.2022,519.2
06.02.2022,519.2
06.01.2022,519.2
05.31.2022,519.2
05.30.2022,519.2
05.27.2022,519.2
05.26.2022,519.2
05.25.2022,519.2
05.24.2022,519.2
05.23.2022,519.2
05.20.2022,519.2
05.19.2022,519.2
05.18.2022,519.2
05.17.2022,519.2
05.16.2022,519.2
05.13.2022,519.2
05.12.2022,519.2
05.11.2022,519.2
05.10.2022,519.2
05.06.2022,519.2
05.05.2022,519.2
05.04.2022,519.2
05.03.2022,519.2
04.29.2022,519.2
04.28.2022,519.2
04.27.2022,519.2
04.26.2022,519.2
04.25.2022,519.2
04.22.2022,519.2
04.21.2022,519.2
04.20.2022,519.2
04.19.2022,519.2
04.18.2022,519.2
04.15.2022,519.2
04.14.2022,519.2
04.13.2022,519.2
04.12.2022,519.2
04.11.2022,519.2
04.08.2022,519.2
04.07.2022,519.2
04.05.2022,519.2
04.04.2022,519.2
04.01.2022,519.2
03.30.2022,519.2
03.29.2022,519.2
03.28.2022,519.2
03.25.2022,519.2
03.24.2022,519.2
03.23.2022,519.2
03.22.2022,519.2
03.21.2022,519.2
03.18.2022,519.2
03.17.2022,519.2
03.16.2022,519.2
03.15.2022,519.2
03.14.2022,519.2
03.11.2022,519.2
03.10.2022,519.2
03.09.2022,519.2
03.04.2022,519.2
03.03.2022,519.2
03.02.2022,519.2
03.01.2022,519.2
02.28.2022,519.2
02.24.2022,519.2
02.23.2022,519.2
02.22.2022,519.2
02.21.2022,518.77
02.18.2022,518.77
02.17.2022,518.77
02.11.2022,518.77
02.10.2022,518.77
02.09.2022,518.77
02.08.2022,518.77
02.07.2022,521.94
02.04.2022,521.94
02.03.2022,521.94
02.02.2022,521.94
02.01.2022,521.94
01.31.2022,521.94
01.28.2022,521.94
01.27.2022,521.94
01.26.2022,522.77
01.25.2022,522.77
01.24.2022,522.77
01.21.2022,522.77
01.20.2022,522.77
01.19.2022,522.77
01.18.2022,522.77
01.17.2022,522.77
01.14.2022,522.77
01.13.2022,522.77
01.12.2022,522.77
01.11.2022,522.77
01.10.2022,522.77
01.06.2022,522.77
01.05.2022,522.77
01.04.2022,522.77
