Date,Price
11.28.2022,1122.46
11.25.2022,1141.07
11.24.2022,1146.28
11.23.2022,1147.43
11.22.2022,1142.58
11.21.2022,1122.29
11.18.2022,1147.03
11.17.2022,1151.56
11.16.2022,1163.59
11.15.2022,1159.59
11.14.2022,1170.05
11.11.2022,1158.24
11.10.2022,1150.36
11.09.2022,1113.93
11.08.2022,1143.05
11.07.2022,1140.78
11.03.2022,1094.3
11.02.2022,1108.69
11.01.2022,1118.19
10.31.2022,1111.68
10.28.2022,1113.75
10.27.2022,1105.71
10.26.2022,1088.59
10.25.2022,1090.96
10.24.2022,1062.66
10.21.2022,1050.57
10.20.2022,1041.56
10.19.2022,1010.24
10.18.2022,1039.76
10.17.2022,1027.83
10.14.2022,990.66
10.13.2022,968.34
10.12.2022,954.53
10.11.2022,964.67
10.10.2022,963.88
10.07.2022,1005.04
10.06.2022,1044.82
10.05.2022,1061.97
10.04.2022,1100.14
10.03.2022,1091.87
09.30.2022,1055.72
09.29.2022,1072.26
09.28.2022,1074.57
09.27.2022,1053.46
09.26.2022,1043.44
09.23.2022,1141.81
09.22.2022,1174.61
09.21.2022,1106.82
09.20.2022,1154.17
09.19.2022,1272.66
09.16.2022,1275.03
09.15.2022,1288.03
09.14.2022,1282.8
09.13.2022,1284.1
09.12.2022,1280.67
09.09.2022,1262.72
09.08.2022,1237.75
09.07.2022,1243.7
09.06.2022,1252.47
09.05.2022,1287.78
09.02.2022,1284.53
09.01.2022,1279.45
08.31.2022,1258.45
08.30.2022,1212.1
08.29.2022,1197.99
08.26.2022,1183.12
08.25.2022,1182.71
08.24.2022,1182.39
08.23.2022,1190.16
08.22.2022,1173.79
08.19.2022,1170.57
08.18.2022,1162.3
08.17.2022,1136.4
08.16.2022,1142.05
08.15.2022,1112.93
08.12.2022,1116.32
08.11.2022,1106.29
08.10.2022,1118.4
08.09.2022,1116.28
08.08.2022,1083.52
08.05.2022,1072.31
08.04.2022,1104.77
08.03.2022,1105.99
08.02.2022,1116.12
08.01.2022,1138.79
07.29.2022,1129.24
07.28.2022,1137.82
07.27.2022,1153.95
07.26.2022,1136.02
07.25.2022,1155.45
07.22.2022,1161.47
07.21.2022,1142.18
07.20.2022,1188.91
07.19.2022,1175.04
07.18.2022,1168.73
07.15.2022,1161.53
07.14.2022,1113.97
07.13.2022,1120.34
07.12.2022,1142.37
07.11.2022,1154.28
07.08.2022,1144.79
07.07.2022,1132.49
07.06.2022,1101.64
07.05.2022,1146.68
07.04.2022,1249
07.01.2022,1276.55
06.30.2022,1345.01
06.29.2022,1413.01
06.28.2022,1465.57
06.27.2022,1428.07
06.24.2022,1414.96
06.23.2022,1416.41
06.22.2022,1403.36
06.21.2022,1379.97
06.20.2022,1357.63
06.17.2022,1315.43
06.16.2022,1316.75
06.15.2022,1280.38
06.14.2022,1272.97
06.10.2022,1268.83
06.09.2022,1212.58
06.08.2022,1231.25
06.07.2022,1180.47
06.06.2022,1178.51
06.03.2022,1199.55
06.02.2022,1196.03
06.01.2022,1222.18
05.31.2022,1208.12
05.30.2022,1215.74
05.27.2022,1133.94
05.26.2022,1174.72
05.25.2022,1239.07
05.24.2022,1273.73
05.23.2022,1253.69
05.20.2022,1239.83
05.19.2022,1245.71
05.18.2022,1212.57
05.17.2022,1200.81
05.16.2022,1174.06
05.13.2022,1132.23
05.12.2022,1140.05
05.11.2022,1123.93
05.06.2022,1088.02
05.05.2022,1119.92
05.04.2022,1114.13
04.29.2022,1081.52
04.28.2022,1041.91
04.27.2022,1049.04
04.26.2022,999.84
04.25.2022,941.08
04.22.2022,928.3
04.21.2022,961.46
04.20.2022,960.42
04.19.2022,931.86
04.18.2022,926.08
04.15.2022,955.46
04.14.2022,941.05
04.13.2022,997.04
04.12.2022,1004.7
04.11.2022,1017.05
04.08.2022,1079.99
04.07.2022,1092.41
04.06.2022,1034.79
04.05.2022,1004.78
04.04.2022,1051.68
04.01.2022,1033.58
03.31.2022,1021.28
03.30.2022,949.23
03.29.2022,881.59
03.28.2022,823.04
03.25.2022,829.62
03.24.2022,852.64
02.25.2022,936.94
02.24.2022,742.91
02.23.2022,1204.11
02.22.2022,1226.69
02.21.2022,1207.5
02.18.2022,1391.31
02.17.2022,1450.02
02.16.2022,1524.51
02.15.2022,1498.04
02.14.2022,1426.09
02.11.2022,1470.1
02.10.2022,1546.79
02.09.2022,1534.82
02.08.2022,1489.18
02.07.2022,1445.2
02.04.2022,1436
02.03.2022,1431.99
02.02.2022,1463.9
02.01.2022,1457.64
01.31.2022,1435.23
01.28.2022,1407.04
01.27.2022,1399.64
01.26.2022,1324.4
01.25.2022,1296.8
01.24.2022,1288.17
01.21.2022,1401.88
01.20.2022,1450.59
01.19.2022,1414.68
01.18.2022,1367.45
01.17.2022,1474.99
01.14.2022,1485.86
01.13.2022,1516.99
01.12.2022,1612.8
01.11.2022,1595.45
01.10.2022,1565.31
01.06.2022,1545.24
01.05.2022,1586.2
01.04.2022,1622.58
01.03.2022,1622.75
