DATE,Price
11/25/2022,60.5025
11/24/2022,60.6725
11/23/2022,60.7
11/22/2022,60.6825
11/21/2022,60.85
11/18/2022,60.4025
11/17/2022,60.53
11/16/2022,60.35
11/15/2022,60.4
11/14/2022,60.55
11/11/2022,60.5375
11/10/2022,60.53
11/09/2022,61.31
11/08/2022,60.9925
11/07/2022,61
11/03/2022,62.1
11/02/2022,61.8
11/01/2022,61.2375
10/31/2022,61.4775
10/28/2022,61.52
10/27/2022,61.725
10/26/2022,61.75
10/25/2022,61.4875
10/24/2022,61.185
10/21/2022,61.29
10/20/2022,61.4
10/19/2022,61.735
10/18/2022,61.575
10/17/2022,61.65
10/14/2022,62.1075
10/13/2022,63.63
10/12/2022,64.42
10/11/2022,63.66
10/10/2022,62.69
10/07/2022,61.0025
10/06/2022,60.9025
10/05/2022,60.1725
10/04/2022,58.95
10/03/2022,58.86
09/30/2022,58.45
09/29/2022,57.21
09/28/2022,57.54
09/27/2022,58.4575
09/26/2022,58.395
09/23/2022,57.92
09/22/2022,58.84
09/21/2022,60.69
09/20/2022,60.6
09/19/2022,60.16
09/16/2022,60.275
09/15/2022,59.8
09/14/2022,59.885
09/13/2022,59.9
09/12/2022,60.24
09/09/2022,60.6
09/08/2022,60.73
09/07/2022,60.79
09/06/2022,61.235
09/05/2022,60.87
09/02/2022,60.58
09/01/2022,60.31
08/31/2022,60.23
08/30/2022,59.94
08/29/2022,60.3975
08/26/2022,60.5
08/25/2022,60.145
08/24/2022,59.8875
08/23/2022,59.89
08/22/2022,59.87
08/19/2022,59.1
08/18/2022,59.5325
08/17/2022,60.75
08/16/2022,60.9
08/15/2022,61.225
08/12/2022,60.605
08/11/2022,60.67
08/10/2022,60.665
08/09/2022,60.1475
08/08/2022,60.755
08/05/2022,60.58
08/04/2022,60.35
08/03/2022,60.58
08/02/2022,60.295
08/01/2022,60.17
07/29/2022,61.62
07/28/2022,60.82
07/27/2022,59.88
07/26/2022,60.55
07/25/2022,58.11
07/22/2022,57.29
07/21/2022,56.6475
07/20/2022,55.02
07/19/2022,55.4525
07/18/2022,56.34
07/15/2022,57.165
07/14/2022,58.3
07/13/2022,58.27
07/12/2022,58.94
07/11/2022,58.9
07/08/2022,60.92
07/07/2022,61.95
07/06/2022,63.35
07/05/2022,61.15
07/04/2022,55.24
07/01/2022,54.5
06/30/2022,51.45
06/29/2022,53.2375
06/28/2022,51.8
06/27/2022,53.385
06/24/2022,53.4
06/23/2022,53.465
06/22/2022,53.15
06/21/2022,53.775
06/20/2022,55.63
06/17/2022,56.41
06/16/2022,56.5
06/15/2022,56.96
06/14/2022,56.6
06/10/2022,56.8
06/09/2022,59.35
06/08/2022,59.4
06/07/2022,61.0425
06/06/2022,61.0175
06/03/2022,60.95
06/02/2022,61.65
06/01/2022,61.28
05/31/2022,61.5
05/30/2022,62.25
05/27/2022,66.7
05/26/2022,65.26
05/25/2022,59.33
05/24/2022,56.8
05/23/2022,57.8675
05/20/2022,60.2325
05/19/2022,61.905
05/18/2022,63.445
05/17/2022,63.6
05/16/2022,63.4
05/13/2022,64.545
05/12/2022,63.3
05/11/2022,67.2
05/09/2022,69.4025
05/06/2022,69.4025
05/05/2022,67
05/04/2022,66.3
05/03/2022,70.96
04/29/2022,70.96
04/28/2022,72.08
04/27/2022,72.78
04/26/2022,73.525
04/25/2022,73.125
04/22/2022,75.45
04/21/2022,74.785
04/20/2022,76.4125
04/19/2022,78.515
04/18/2022,79.75
04/15/2022,79.995
04/14/2022,80.8975
04/13/2022,79.8675
04/12/2022,79.68
04/11/2022,79.065
04/08/2022,76.08
04/07/2022,75.75
04/06/2022,79.7
04/05/2022,83.3125
04/04/2022,84
04/01/2022,83.95
03/31/2022,83.2
03/30/2022,84.55
03/29/2022,85.25
03/28/2022,89.75
03/25/2022,96
03/24/2022,97
03/23/2022,97.7375
03/22/2022,103.55
03/21/2022,104
03/18/2022,104.82
03/17/2022,103.15
03/16/2022,108
03/15/2022,110.1
03/14/2022,114.1025
03/11/2022,114.2525
03/10/2022,118.5
03/09/2022,120
03/08/2022,127.5
03/07/2022,143
03/04/2022,122.5375
03/03/2022,109.896
03/02/2022,102.8505
03/01/2022,108.5435
02/28/2022,106.0405
02/25/2022,105.271
02/24/2022,84.0475
02/23/2022,81.148
02/22/2022,78.5987
02/21/2022,80.017
02/18/2022,77.332
02/17/2022,76.3088
02/16/2022,75.2537
02/15/2022,75.3519
02/14/2022,76.7799
02/11/2022,77.1905
02/10/2022,75.0216
02/09/2022,74.7189
02/08/2022,75.0091
02/07/2022,75.4971
02/04/2022,75.8385
02/03/2022,76.5108
02/02/2022,76.0472
02/01/2022,76.8603
01/31/2022,77.3792
01/28/2022,77.8279
01/27/2022,78.0065
01/26/2022,79.496
01/25/2022,78.6456
01/24/2022,78.786
01/21/2022,77.4485
01/20/2022,76.6814
01/19/2022,76.2065
01/18/2022,76.935
01/17/2022,76.1055
01/14/2022,76.2202
01/13/2022,76.2755
01/12/2022,74.7154
01/11/2022,74.4665
01/10/2022,75.0159
01/07/2022,75.7408
01/06/2022,76.313
01/05/2022,76.7857
01/04/2022,75.37
01/03/2022,74.5508
