DATE,UAH
2020.01.01,23.6862
2020.02.01,24.9196
2020.03.01,24.561
2020.04.01,27.6289
2020.05.01,26.9714
2020.06.01,26.8685
2020.07.01,26.6676
2020.08.01,27.6913
2020.09.01,27.5618
2020.10.01,28.3105
2020.11.01,28.4383
2020.12.01,28.4962
2021.01.01,28.2746
2021.02.01,28.1324
2021.03.01,27.9456
2021.04.01,27.8226
2021.05.01,27.75
2021.06.01,27.4674
2021.07.01,27.2275
2021.08.01,26.8867
2021.09.01,26.8928
2021.10.01,26.6175
2021.11.01,26.2767
2021.12.01,27.2142
2022.01.01,27.2782
2022.02.01,28.4555
2022.03.01,29.2549
2022.04.01,29.2549
2022.05.01,29.2549
2022.06.01,29.2549
2022.07.01,29.2549
2022.08.01,36.5686
2022.09.01,36.5686
2022.10.01,36.5686
2022.11.01,36.5686
