DATE,HRV
11/25/2022,36.9322
11/24/2022,36.9322
11/23/2022,36.9315
11/22/2022,36.9315
11/21/2022,36.9322
11/18/2022,36.93
11/17/2022,36.93
11/16/2022,36.5
11/15/2022,36.5
11/14/2022,36.5
11/11/2022,36.5
11/10/2022,36.93
11/09/2022,36.93
11/08/2022,36.5
11/07/2022,36.5
11/04/2022,36.695
11/03/2022,36.5
11/02/2022,36.5
11/01/2022,36.93
10/31/2022,36.5
10/28/2022,36.5
10/27/2022,36.5
10/26/2022,36.93
10/25/2022,36.93
10/24/2022,36.925
10/21/2022,36.5
10/20/2022,36.93
10/19/2022,36.93
10/18/2022,36.93
10/17/2022,36.93
10/14/2022,36.93
10/13/2022,36.93
10/12/2022,36.93
10/11/2022,36.929
10/10/2022,36.929
10/07/2022,36.93
10/06/2022,36.93
10/05/2022,36.9335
10/04/2022,36.5
10/03/2022,36.5
09/30/2022,36.93
09/29/2022,36.93
09/28/2022,36.5
09/27/2022,36.5
09/26/2022,36.5
09/23/2022,36.5
09/22/2022,36.93
09/21/2022,36.5
09/20/2022,36.93
09/19/2022,36.929
09/16/2022,36.5
09/15/2022,36.5
09/14/2022,36.93
09/13/2022,36.5
09/12/2022,36.5
09/09/2022,36.5
09/08/2022,36.5
09/07/2022,36.5
09/06/2022,36.91
09/05/2022,36.5
09/02/2022,36.925
09/01/2022,36.5
08/31/2022,36.5
08/30/2022,36.5
08/29/2022,36.5
08/26/2022,36.57
08/25/2022,36.5
08/24/2022,36.5
08/23/2022,36.5
08/22/2022,36.592
08/19/2022,36.5695
08/18/2022,36.592
08/17/2022,36.8596
08/16/2022,36.641
08/15/2022,36.592
08/12/2022,36.592
08/11/2022,36.592
08/10/2022,36.592
08/09/2022,36.93
08/08/2022,36.592
08/05/2022,36.925
08/04/2022,36.592
08/03/2022,36.592
08/02/2022,36.592
08/01/2022,36.592
07/29/2022,36.592
07/28/2022,36.86
07/27/2022,36.9
07/26/2022,36.7
07/25/2022,36.5686
07/22/2022,36.5686
07/21/2022,36.5
07/20/2022,29.54
07/19/2022,29.25
07/18/2022,29.5
07/15/2022,29.25
07/14/2022,29.25
07/13/2022,29.25
07/12/2022,29.54
07/11/2022,29.25
07/08/2022,29.54
07/07/2022,29.54
07/06/2022,29.54
07/05/2022,29.54
07/04/2022,29.25
07/01/2022,29.25
06/30/2022,29.25
06/29/2022,29.5
06/28/2022,29.5
06/27/2022,29.54
06/24/2022,29.54
06/23/2022,29.54
06/22/2022,29.25
06/21/2022,29.25
06/20/2022,29.25
06/17/2022,29.54
06/16/2022,29.545
06/15/2022,29.25
06/14/2022,29.54
06/13/2022,29.25
06/10/2022,29.545
06/09/2022,29.5462
06/08/2022,29.54
06/07/2022,29.542
06/06/2022,29.5
06/03/2022,29.25
06/02/2022,29.25
06/01/2022,29.54
05/31/2022,29.54
05/30/2022,29.54
05/27/2022,29.54
05/26/2022,29.5
05/25/2022,29.5
05/24/2022,29.54
05/23/2022,29.54
05/20/2022,29.54
05/19/2022,29.54
05/18/2022,29.5
05/17/2022,29.5
05/16/2022,29.54
05/13/2022,29.54
05/12/2022,29.542
05/11/2022,30.25
05/10/2022,30.25
05/09/2022,30.25
05/06/2022,30.25
05/05/2022,30.25
05/04/2022,29.25
05/03/2022,29.25
05/02/2022,29.25
04/29/2022,30.25
04/28/2022,30.25
04/27/2022,30.25
04/26/2022,30.25
04/25/2022,30.25
04/22/2022,30.25
04/21/2022,29.25
04/20/2022,30.25
04/19/2022,29.5
04/18/2022,29.5
04/15/2022,29.25
04/14/2022,29.5
04/13/2022,29.25
04/12/2022,29.5
04/11/2022,29.5
04/08/2022,29.25
04/07/2022,29.25
04/06/2022,29.25
04/05/2022,29.25
04/04/2022,29.2499
04/01/2022,29.25
03/31/2022,29.5
03/30/2022,29.5
03/29/2022,29.25
03/28/2022,29.5
03/25/2022,29.5
03/24/2022,29.25
03/23/2022,29.25
03/22/2022,29.25
03/21/2022,29.25
03/18/2022,29.4
03/17/2022,29.5474
03/16/2022,29.2549
03/15/2022,29.5474
03/14/2022,29.25
03/10/2022,29.4
02/25/2022,30.05
02/23/2022,29.7914
02/22/2022,29.0597
02/21/2022,28.669
02/18/2022,28.4014
02/17/2022,28.2915
02/16/2022,28.14
02/15/2022,28.1919
02/14/2022,28.4613
02/11/2022,28.0414
02/10/2022,27.9098
02/09/2022,27.8916
02/08/2022,27.9617
02/07/2022,27.8915
02/04/2022,28.114
02/03/2022,28.2016
02/02/2022,28.3197
02/01/2022,28.424
01/31/2022,28.3345
01/28/2022,28.6918
01/27/2022,28.8695
01/26/2022,28.8397
01/25/2022,28.669
01/24/2022,28.6519
01/21/2022,28.2013
01/20/2022,28.2992
01/19/2022,28.2616
01/18/2022,28.3411
01/17/2022,28.274
01/14/2022,27.9996
01/13/2022,27.8716
01/12/2022,27.7511
01/11/2022,27.629
01/10/2022,27.4838
01/06/2022,27.4953
01/05/2022,27.4466
01/04/2022,27.4497
