Company,Loss,ABS,Address
Daimler AG,-38.93%,38.93,"Daimlerstraße 143, 12277 Berlin, Germany"
Toyota Motor Corp,-18.53%,18.53,"1 Chome-4-18 Koraku, Bunkyo City, Tokyo 112-0004, Japan"
Volkswagen AG,-36.31%,36.31,"Willy-Brandt-Platz 8, 38440 Wolfsburg, Germany"
Ford Motor Company,-30.48%,30.48,"16800 Executive Plaza Dr, Dearborn, MI 48126, United States"
Honda Motor Co Ltd,-13.47%,13.47,"2 Chome-1-1 Minamiaoyama, Minato City, Tokyo 107-8556, Japan"
Bayerische Motoren Werke AG,-11.16%,11.16,"Bischofstraße 115, 47809 Krefeld, Germany"
General Motors Company,-34.55%,34.55,"30500 Mound Rd, Warren, MI 48092, United States"
Fiat Chrysler Automobiles,-5.29%,5.29,"25 St James's St, St. James's, London SW1A 1HA, United Kingdom"
Hyundai Motor Co,-26.37%,26.37,"12 Heolleung-ro, Yangjae-dong, Seocho-gu, Seoul"
Nissan Motor Co Ltd,-32.43%,32.43,"1 Chome-1-1 Takashima, Nishi Ward, Yokohama, Kanagawa 220-8686, Japan"
