Date,Price
11/25/2022,83.63
11/24/2022,85.34
11/23/2022,85.41
11/22/2022,88.36
11/21/2022,87.45
11/18/2022,87.62
11/17/2022,89.78
11/16/2022,92.86
11/15/2022,93.86
11/14/2022,93.14
11/11/2022,95.99
11/10/2022,93.67
11/09/2022,92.65
11/08/2022,95.36
11/07/2022,97.92
11/04/2022,98.57
11/03/2022,94.67
11/02/2022,96.16
11/01/2022,94.65
10/31/2022,94.83
10/28/2022,95.77
10/27/2022,96.96
10/26/2022,95.69
10/25/2022,91.74
10/24/2022,91.21
10/21/2022,91.34
10/20/2022,90.45
10/19/2022,90.56
10/18/2022,88.6
10/17/2022,90.18
10/14/2022,90.15
10/13/2022,94.57
10/12/2022,92.45
10/11/2022,94.29
10/10/2022,96.19
10/07/2022,97.92
10/06/2022,94.42
10/05/2022,93.37
10/04/2022,91.8
10/03/2022,88.86
09/30/2022,87.96
09/29/2022,88.49
09/28/2022,89.32
09/27/2022,84.87
09/26/2022,82.86
09/23/2022,85.03
09/22/2022,89.53
09/21/2022,88.8
09/20/2022,89.4
09/19/2022,92
09/16/2022,91.35
09/15/2022,90.84
09/14/2022,94.1
09/13/2022,93.17
09/12/2022,94
09/09/2022,92.84
09/08/2022,88.62
09/07/2022,88
09/06/2022,92.83
09/05/2022,95.74
09/02/2022,93.02
09/01/2022,92.36
08/31/2022,96.49
08/30/2022,97.84
08/29/2022,102.93
08/26/2022,99.01
08/25/2022,98.46
08/24/2022,100.34
08/23/2022,99.17
08/22/2022,95.81
08/19/2022,96.72
08/18/2022,96.59
08/17/2022,93.65
08/16/2022,92.34
08/15/2022,95.1
08/12/2022,98.15
08/11/2022,99.6
08/10/2022,97.4
08/09/2022,96.31
08/08/2022,96.65
08/05/2022,94.92
08/04/2022,94.12
08/03/2022,96.78
08/02/2022,100.54
08/01/2022,100.03
07/29/2022,110.01
07/28/2022,107.14
07/27/2022,106.62
07/26/2022,104.4
07/25/2022,105.15
07/22/2022,103.2
07/21/2022,103.86
07/20/2022,106.92
07/19/2022,107.35
07/18/2022,106.27
07/15/2022,101.16
07/14/2022,99.1
07/13/2022,99.57
07/12/2022,99.49
07/11/2022,107.1
07/08/2022,107.02
07/07/2022,104.65
07/06/2022,100.69
07/05/2022,102.77
07/04/2022,113.5
07/01/2022,111.63
06/30/2022,114.81
06/29/2022,116.26
06/28/2022,117.98
06/27/2022,115.09
06/24/2022,113.12
06/23/2022,110.05
06/22/2022,111.74
06/21/2022,114.65
06/20/2022,114.13
06/17/2022,113.12
06/16/2022,119.81
06/15/2022,118.51
06/14/2022,121.17
06/13/2022,122.27
06/10/2022,122.01
06/09/2022,123.07
06/08/2022,123.58
06/07/2022,120.57
06/06/2022,119.51
06/03/2022,119.72
06/02/2022,117.61
06/01/2022,116.29
05/31/2022,122.84
05/30/2022,121.67
05/27/2022,119.43
05/26/2022,117.4
05/25/2022,114.03
05/24/2022,113.56
05/23/2022,113.42
05/20/2022,112.55
05/19/2022,112.04
05/18/2022,109.11
05/17/2022,111.93
05/16/2022,114.24
05/13/2022,111.55
05/12/2022,107.45
05/11/2022,107.51
05/10/2022,102.46
05/09/2022,105.94
05/06/2022,112.39
05/05/2022,110.9
05/04/2022,110.14
05/03/2022,104.97
05/02/2022,107.58
04/29/2022,109.34
04/28/2022,107.59
04/27/2022,105.32
04/26/2022,104.99
04/25/2022,102.32
04/22/2022,106.65
04/21/2022,108.33
04/20/2022,106.8
04/19/2022,107.25
04/18/2022,113.16
04/14/2022,111.7
04/13/2022,108.78
04/12/2022,104.64
04/11/2022,98.48
04/08/2022,102.78
04/07/2022,100.58
04/06/2022,101.07
04/05/2022,106.64
04/04/2022,107.53
04/01/2022,104.39
03/31/2022,107.91
03/30/2022,113.45
03/29/2022,110.23
03/28/2022,112.48
03/25/2022,120.65
03/24/2022,119.03
03/23/2022,121.6
03/22/2022,115.48
03/21/2022,115.62
03/18/2022,107.93
03/17/2022,106.64
03/16/2022,98.02
03/15/2022,99.91
03/14/2022,106.9
03/11/2022,112.67
03/10/2022,109.33
03/09/2022,111.14
03/08/2022,127.98
03/07/2022,123.21
03/04/2022,118.11
03/03/2022,110.46
03/02/2022,112.93
03/01/2022,104.97
02/28/2022,100.99
02/25/2022,97.93
02/24/2022,99.08
02/23/2022,96.84
02/22/2022,96.84
02/21/2022,95.39
02/18/2022,93.54
02/17/2022,92.97
02/16/2022,94.81
02/15/2022,93.28
02/14/2022,96.48
02/11/2022,94.44
02/10/2022,91.41
02/09/2022,91.55
02/08/2022,90.78
02/07/2022,92.69
02/04/2022,93.27
02/03/2022,91.11
02/02/2022,89.47
02/01/2022,89.16
01/31/2022,91.21
01/28/2022,90.03
01/27/2022,89.34
01/26/2022,89.96
01/25/2022,88.2
01/24/2022,86.27
01/21/2022,87.89
01/20/2022,88.38
01/19/2022,88.44
01/18/2022,87.51
01/17/2022,86.48
01/14/2022,86.06
01/13/2022,84.47
01/12/2022,84.67
01/11/2022,83.72
01/10/2022,80.87
01/07/2022,81.75
01/06/2022,81.99
01/05/2022,80.8
01/04/2022,80
01/03/2022,78.98
