Date,Price
11/25/2022,1754
11/24/2022,1755.35
11/23/2022,1745.6
11/22/2022,1739.9
11/21/2022,1739.6
11/20/2022,1754.4
11/18/2022,1754.4
11/17/2022,1763
11/16/2022,1775.8
11/15/2022,1776.8
11/14/2022,1776.9
11/11/2022,1769.4
11/10/2022,1753.7
11/09/2022,1713.7
11/08/2022,1716
11/07/2022,1680.5
11/04/2022,1676.6
11/03/2022,1630.9
11/02/2022,1650
11/01/2022,1649.7
10/31/2022,1640.7
10/28/2022,1644.8
10/27/2022,1660.3
10/26/2022,1664.4
10/25/2022,1653.3
10/24/2022,1649.2
10/21/2022,1651.5
10/20/2022,1631.8
10/19/2022,1629
10/18/2022,1650.7
10/17/2022,1658.9
10/14/2022,1643.7
10/13/2022,1677
10/12/2022,1677.5
10/11/2022,1686
10/10/2022,1675.2
10/07/2022,1709.3
10/06/2022,1720.8
10/05/2022,1720.8
10/04/2022,1730.5
10/03/2022,1702
09/30/2022,1672
09/29/2022,1668.6
09/28/2022,1665.1
09/27/2022,1631.1
09/26/2022,1628.2
09/23/2022,1650
09/22/2022,1676.1
09/21/2022,1670.5
09/20/2022,1665.7
09/19/2022,1672.6
09/16/2022,1677.9
09/15/2022,1671.4
09/14/2022,1703.2
09/13/2022,1712
09/12/2022,1735.6
09/09/2022,1723.6
09/08/2022,1715.3
09/07/2022,1722.8
09/06/2022,1707.9
09/05/2022,1724.8
09/04/2022,1718.65
09/02/2022,1717.7
09/01/2022,1704.4
08/31/2022,1721.4
08/30/2022,1731.6
08/29/2022,1740.5
08/26/2022,1740.6
08/25/2022,1761.8
08/24/2022,1752
08/23/2022,1751.5
08/22/2022,1738.6
08/19/2022,1753
08/18/2022,1761.1
08/17/2022,1766.5
08/16/2022,1779.4
08/15/2022,1787.9
08/12/2022,1805.2
08/11/2022,1796.8
08/10/2022,1803.3
08/09/2022,1801.5
08/08/2022,1794.3
08/05/2022,1780.5
08/04/2022,1796.2
08/03/2022,1766.1
08/02/2022,1779.7
08/01/2022,1777.6
07/29/2022,1771.5
07/28/2022,1759
07/27/2022,1723.3
07/26/2022,1721.9
07/25/2022,1723.2
07/22/2022,1731.4
07/21/2022,1717.3
07/20/2022,1703.9
07/19/2022,1714.1
07/18/2022,1713.8
07/15/2022,1707.5
07/14/2022,1709.9
07/13/2022,1739.5
07/12/2022,1728.9
07/11/2022,1735.9
07/08/2022,1746.7
07/07/2022,1744.1
07/06/2022,1741.3
07/05/2022,1768.9
07/04/2022,1763.9
07/01/2022,1805.9
06/30/2022,1812
06/29/2022,1822
06/28/2022,1821.2
06/27/2022,1824.8
06/24/2022,1830.3
06/23/2022,1829.8
06/22/2022,1838.4
06/21/2022,1838.8
06/20/2022,1838.8
06/17/2022,1840.6
06/16/2022,1849.9
06/15/2022,1819.6
06/14/2022,1813.5
06/13/2022,1831.8
06/10/2022,1875.5
06/09/2022,1852.8
06/08/2022,1856.5
06/07/2022,1852.1
06/06/2022,1843.7
06/03/2022,1850.2
06/02/2022,1871.4
06/01/2022,1848.7
05/31/2022,1848.4
05/30/2022,1848.4
05/27/2022,1857.3
05/26/2022,1850.6
05/25/2022,1849.2
05/24/2022,1868.4
05/23/2022,1850.6
05/20/2022,1844.7
05/19/2022,1844
05/18/2022,1819
05/17/2022,1821.9
05/16/2022,1816.8
05/13/2022,1811.3
05/12/2022,1827.9
05/11/2022,1857.1
05/10/2022,1844.4
05/09/2022,1862
05/06/2022,1886.2
05/05/2022,1879
05/04/2022,1872.1
05/03/2022,1873.9
05/02/2022,1867
04/29/2022,1915.1
04/28/2022,1894.8
04/27/2022,1888.7
04/26/2022,1904.1
04/25/2022,1896
04/22/2022,1934.3
04/21/2022,1948.2
04/20/2022,1955.6
04/19/2022,1959
04/18/2022,1986.4
04/14/2022,1974.9
04/13/2022,1984.7
04/12/2022,1976.1
04/11/2022,1948.2
04/08/2022,1945.6
04/07/2022,1937.8
04/06/2022,1923.1
04/05/2022,1927.5
04/04/2022,1934
04/01/2022,1923.7
03/31/2022,1954
03/30/2022,1939
03/29/2022,1915.2
03/28/2022,1942.3
03/25/2022,1956.9
03/24/2022,1964.9
03/23/2022,1940.2
03/22/2022,1924.4
03/21/2022,1932.5
03/18/2022,1931.7
03/17/2022,1946
03/16/2022,1911.9
03/15/2022,1932.6
03/14/2022,1963.4
03/11/2022,1987.6
03/10/2022,2002.9
03/09/2022,1990.7
03/08/2022,2046.3
03/07/2022,1998.7
03/04/2022,1968.9
03/03/2022,1938.1
03/02/2022,1924.6
03/01/2022,1945.3
02/28/2022,1902.2
02/25/2022,1889.2
02/24/2022,1926.3
02/23/2022,1910.4
02/22/2022,1907.4
02/21/2022,1907.4
02/18/2022,1899.8
02/17/2022,1902
02/16/2022,1871.5
02/15/2022,1856.2
02/14/2022,1869.4
02/11/2022,1842.1
02/10/2022,1837.4
02/09/2022,1836.6
02/08/2022,1827.9
02/07/2022,1821.8
02/04/2022,1807.8
02/03/2022,1804.1
02/02/2022,1810.3
02/01/2022,1801.5
01/31/2022,1796.4
01/28/2022,1786.6
01/27/2022,1794.2
01/26/2022,1831
01/25/2022,1854.1
01/24/2022,1843.4
01/21/2022,1833.5
01/20/2022,1844.3
01/19/2022,1844.7
01/18/2022,1814.1
01/17/2022,1812.4
01/14/2022,1818.3
01/13/2022,1823.3
01/12/2022,1829.1
01/11/2022,1820.4
01/10/2022,1800.7
01/07/2022,1799.3
01/06/2022,1791
01/05/2022,1826.6
01/04/2022,1815.8
01/03/2022,1801.1
