Date,Price
11/25/2022,7.024
11/24/2022,7.177
11/23/2022,7.308
11/22/2022,6.779
11/21/2022,6.776
11/20/2022,6.273
11/18/2022,6.303
11/17/2022,6.369
11/16/2022,6.2
11/15/2022,6.034
11/14/2022,5.933
11/11/2022,5.879
11/10/2022,6.239
11/09/2022,5.865
11/08/2022,6.138
11/07/2022,6.944
11/04/2022,6.4
11/03/2022,5.975
11/02/2022,6.268
11/01/2022,5.714
10/31/2022,6.355
10/28/2022,5.684
10/27/2022,5.186
10/26/2022,5.606
10/25/2022,5.613
10/24/2022,5.199
10/21/2022,4.959
10/20/2022,5.358
10/19/2022,5.462
10/18/2022,5.745
10/17/2022,5.999
10/14/2022,6.453
10/13/2022,6.741
10/12/2022,6.435
10/11/2022,6.596
10/10/2022,6.435
10/07/2022,6.748
10/06/2022,6.972
10/05/2022,6.93
10/04/2022,6.837
10/03/2022,6.47
09/30/2022,6.766
09/29/2022,6.874
09/28/2022,6.868
09/27/2022,6.76
09/26/2022,7.014
09/23/2022,6.992
09/22/2022,7.193
09/21/2022,7.827
09/20/2022,7.772
09/19/2022,7.752
09/16/2022,7.764
09/15/2022,8.324
09/14/2022,9.114
09/13/2022,8.284
09/12/2022,8.249
09/09/2022,7.996
09/08/2022,7.954
09/07/2022,7.842
09/06/2022,8.145
09/05/2022,8.714
09/04/2022,8.979
09/02/2022,8.786
09/01/2022,9.262
08/31/2022,9.127
08/30/2022,9.042
08/29/2022,9.353
08/26/2022,9.296
08/25/2022,9.375
08/24/2022,9.3
08/23/2022,9.155
08/22/2022,9.647
08/19/2022,9.336
08/18/2022,9.188
08/17/2022,9.244
08/16/2022,9.329
08/15/2022,8.728
08/12/2022,8.768
08/11/2022,8.874
08/10/2022,8.202
08/09/2022,7.833
08/08/2022,7.589
08/05/2022,8.064
08/04/2022,8.122
08/03/2022,8.266
08/02/2022,7.706
08/01/2022,8.283
07/29/2022,8.229
07/28/2022,8.134
07/27/2022,8.554
07/26/2022,8.825
07/25/2022,8.571
07/22/2022,8.195
07/21/2022,7.815
07/20/2022,7.899
07/19/2022,7.15
07/18/2022,7.382
07/15/2022,6.926
07/14/2022,6.511
07/13/2022,6.589
07/12/2022,6.021
07/11/2022,6.319
07/08/2022,6.034
07/07/2022,6.297
07/06/2022,5.51
07/05/2022,5.523
07/04/2022,5.853
07/03/2022,5.709
07/01/2022,5.73
06/30/2022,5.424
06/29/2022,6.498
06/28/2022,6.551
06/27/2022,6.501
06/24/2022,6.22
06/23/2022,6.239
06/22/2022,6.858
06/21/2022,6.808
06/20/2022,6.713
06/19/2022,6.702
06/17/2022,6.944
06/16/2022,7.464
06/15/2022,7.42
06/14/2022,7.189
06/13/2022,8.609
06/10/2022,8.85
06/09/2022,8.963
06/08/2022,8.699
06/07/2022,9.293
06/06/2022,9.322
06/03/2022,8.523
06/02/2022,8.485
06/01/2022,8.696
05/31/2022,8.145
05/30/2022,8.686
05/29/2022,8.815
05/27/2022,8.727
05/26/2022,8.908
05/25/2022,8.971
05/24/2022,8.796
05/23/2022,8.744
05/20/2022,8.083
05/19/2022,8.308
05/18/2022,8.368
05/17/2022,8.304
05/16/2022,7.956
05/13/2022,7.663
05/12/2022,7.739
05/11/2022,7.64
05/10/2022,7.385
05/09/2022,7.026
05/06/2022,8.043
05/05/2022,8.783
05/04/2022,8.415
05/03/2022,7.954
05/02/2022,7.475
04/29/2022,7.244
04/28/2022,6.888
04/27/2022,7.339
04/26/2022,6.85
04/25/2022,6.669
04/22/2022,6.534
04/21/2022,6.957
04/20/2022,6.937
04/19/2022,7.176
04/18/2022,7.82
04/14/2022,7.3
04/13/2022,6.997
04/12/2022,6.68
04/11/2022,6.643
04/08/2022,6.278
04/07/2022,6.359
04/06/2022,6.029
04/05/2022,6.032
04/04/2022,5.712
04/01/2022,5.72
03/31/2022,5.642
03/30/2022,5.605
03/29/2022,5.336
03/28/2022,5.508
03/25/2022,5.571
03/24/2022,5.401
03/23/2022,5.232
03/22/2022,5.187
03/21/2022,4.9
03/18/2022,4.863
03/17/2022,4.99
03/16/2022,4.748
03/15/2022,4.568
03/14/2022,4.658
03/11/2022,4.725
03/10/2022,4.631
03/09/2022,4.526
03/08/2022,4.527
03/07/2022,4.833
03/04/2022,5.016
03/03/2022,4.722
03/02/2022,4.762
03/01/2022,4.573
02/28/2022,4.402
02/25/2022,4.47
02/24/2022,4.568
02/23/2022,4.623
02/22/2022,4.498
02/21/2022,4.705
02/20/2022,4.579
02/18/2022,4.431
02/17/2022,4.486
02/16/2022,4.717
02/15/2022,4.306
02/14/2022,4.195
02/11/2022,3.941
02/10/2022,3.959
02/09/2022,4.009
02/08/2022,4.248
02/07/2022,4.232
02/04/2022,4.572
02/03/2022,4.888
02/02/2022,5.501
02/01/2022,4.751
01/31/2022,4.874
01/28/2022,4.639
01/27/2022,4.283
01/26/2022,4.277
01/25/2022,4.053
01/24/2022,4.027
01/21/2022,3.999
01/20/2022,3.802
01/19/2022,4.031
01/18/2022,4.283
01/17/2022,4.276
01/16/2022,4.335
01/14/2022,4.262
01/13/2022,4.27
01/12/2022,4.857
01/11/2022,4.249
01/10/2022,4.079
01/07/2022,3.916
01/06/2022,3.812
01/05/2022,3.882
01/04/2022,3.717
01/03/2022,3.815
