DATE,gas_Global
2020.1.1,3.626269711
2020.2.1,2.995477203
2020.3.1,2.789823671
2020.4.1,2.083882202
2020.5.1,1.46261232
2020.6.1,1.647299982
2020.7.1,1.640862822
2020.8.1,2.611565546
2020.9.1,3.854995574
2020.10.1,4.813821635
2020.11.1,4.783507944
2020.12.1,5.828639183
2021.1.1,7.302820662
2021.2.1,6.171340829
2021.3.1,6.205197385
2021.4.1,7.282723606
2021.5.1,9.004704035
2021.6.1,10.32413911
2021.7.1,12.5242466
2021.8.1,15.27902912
2021.9.1,22.23282724
2021.10.1,29.81414289
2021.11.1,27.38382608
2021.12.1,37.36336306
2022.1.1,27.89094479
2022.2.1,26.98428134
2022.3.1,41.72768831
2022.4.1,31.9898743
2022.5.1,27.46416643
2022.6.1,32.91260722
2022.7.1,51.14591252
2022.8.1,69.97723933
2022.9.1,55.1791274
