DATE,Wheat_Glob
2020.1.1,178.2417773
2020.2.1,172.2311028
2020.3.1,170.8747517
2020.4.1,179.7465179
2020.5.1,174.9549688
2020.6.1,169.7223367
2020.7.1,170.5741217
2020.8.1,174.182477
2020.9.1,204.1373138
2020.10.1,203.4263
2020.11.1,210.7539365
2020.12.1,217.3125429
2021.1.1,237.9442498
2021.2.1,240.8063881
2021.3.1,229.8875493
2021.4.1,239.9361433
2021.5.1,278.4470054
2021.6.1,238.7670267
2021.7.1,243.628007
2021.8.1,274.87603
2021.9.1,269.7335073
2021.10.1,294.0368183
2021.11.1,317.4373548
2021.12.1,324.0179006
2022.1.1,326.0816698
2022.2.1,347.5032275
2022.3.1,387.6650137
2022.4.1,406.0268863
2022.5.1,444.1565678
2022.6.1,397.6523199
2022.7.1,321.9751277
2022.8.1,323.0167688
2022.9.1,346.3221811
