Year,Country of origin,Country of origin (ISO),Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR,Other people in need of international protection,Stateless persons,Host Community,Others of concern
2017,Syrian Arab Rep.,SYR,6310498,147179,6150005,,0,0,8596
2017,Afghanistan,AFG,2624265,333986,1837079,,0,0,448040
2017,South Sudan,SSD,2439888,6452,1903953,,0,0,10000
2017,Myanmar,MMR,1156742,41088,353108,,0,0,109
2017,Somalia,SOM,986386,58320,2116705,,0,0,230
2017,Sudan,SDN,694556,52191,1997022,,0,0,19
2017,Dem. Rep. of the Congo,COD,620805,136152,4351376,,0,0,10555
2017,Central African Rep.,CAF,545513,12997,688700,,0,0,21432
2017,Eritrea,ERI,486209,78308,0,,0,0,145
2017,Burundi,BDI,439320,60433,57258,,0,0,164205
2017,Iraq,IRQ,362536,272627,2615988,,0,0,11227
2017,Viet Nam,VNM,334064,7115,0,,0,0,68
2017,Rwanda,RWA,258986,12801,0,,0,0,6677
2017,Nigeria,NGA,238977,91924,1704080,,0,0,24
2017,China,CHN,207716,89508,0,,0,0,0
2017,Unknown ,,202190,34577,0,,0,0,120348
2017,Colombia,COL,191635,32478,7677609,,0,0,0
2017,Mali,MLI,150305,15086,38172,,0,0,366
2017,Ukraine,UKR,139581,37670,1800000,,0,0,5
2017,Pakistan,PAK,128914,76885,174354,,0,0,0
2017,Iran (Islamic Rep. of),IRN,118639,75079,0,,0,0,2729
2017,Western Sahara,ESH,116762,1843,0,,0,0,0
2017,Sri Lanka,LKA,115632,18934,39322,,0,0,6
2017,Palestinian,PSE,99630,8859,0,,0,0,1661
2017,Ethiopia,ETH,87448,133659,1078429,,0,0,4258
2017,Russian Federation,RUS,61584,38663,0,,0,0,0
2017,Türkiye,TUR,61383,33801,0,,0,0,10
2017,Stateless,XXA,53352,8890,0,,3853982,0,0
2017,Cote d'Ivoire,CIV,40009,26535,0,,0,0,20
2017,Mauritania,MRT,36525,7543,0,,0,0,5
2017,Serbia and Kosovo: S/RES/1244 (1999),SRB,33246,12807,217453,,0,0,0
2017,Haiti,HTI,28424,37018,0,,0,0,43871
2017,Senegal,SEN,26584,25181,0,,0,0,0
2017,El Salvador,SLV,25876,104901,71500,,0,0,4200
2017,Croatia,HRV,24869,268,0,,0,0,8019
2017,Yemen,YEM,23555,24629,2014062,,0,0,10
2017,Egypt,EGY,22106,14588,0,,0,0,41
2017,Guinea,GIN,20333,34518,0,,0,0,0
2017,Bosnia and Herzegovina,BIH,17690,1886,98574,,0,0,48907
