#,Country,Production
1,United States,14837639510 
2,Saudi Arabia,12402761040 
3,Russia,11262746200 
4,China,4905070874 
5,Canada,4596724820 
6,Iraq,4443457393 
7,Iran,4376194355 
8,United Arab Emirates,3772788273 
9,Brazil,3242957836 
10,Kuwait,2990544137 
11,Mexico,2484354880 
12,Venezuela,2355423552 
13,Norway,2003747525 
14,Qatar,1987192978 
15,Nigeria,1938542727 
16,Angola,1796742754 
17,Algeria,1698785656 
18,Kazakhstan,1698280454 
19,United Kingdom,1083928369 
20,India,1016370639 
21,Oman,1015511568 
22,Indonesia,945637219 
23,Colombia,911891820 
24,Azerbaijan,843546251 
25,Malaysia,762168426 
26,Argentina,708770148 
27,Egypt,682904142 
28,Ecuador,548378765 
29,Thailand,531328590 
30,Libya,499396792 
31,Australia,373728372 
32,Vietnam,313632727 
33,Turkmenistan,266426689 
34,Equatorial Guinea,244000000 
35,Germany,211888432 
36,Gabon,210427672 
37,Congo,204735325 
38,South Sudan,152459016 
39,Italy,150146863 
40,Denmark,145673612 
41,Peru,141447560 
42,South Africa,136517000 
43,France,133014033 
44,Japan,123525033 
45,Brunei,121034388 
46,Chad,114000000 
47,South Korea,108419000 
48,Sudan,107852585 
49,Ghana,99113656 
50,Trinidad and Tobago,97725609 
51,Romania,96469836 
52,Cameroon,92469000 
53,Pakistan,88261732 
54,Bolivia,77634869 
55,Spain,71782667 
56,Uzbekistan,71470568 
57,Netherlands,70128432 
58,Turkey,66308268 
59,Bahrain,63886000 
60,Papua New Guinea,56074803 
61,Ukraine,55832437 
62,Poland,53366825 
63,Côte d'Ivoire,50357000 
64,Cuba,49737333 
65,Timor-Leste,49237705 
66,New Zealand,43906776 
67,Singapore,42274000 
68,Tunisia,41634000 
69,Hungary,36018333 
70,Syria,34601667 
71,Philippines,33258000 
72,Belarus,32583667 
73,Taiwan,29504000 
74,Austria,29415202 
75,Belgium,24423000 
76,Mongolia,23426230 
77,Serbia,23150000 
78,Albania,22817634 
79,Yemen,21959667 
80,DR Congo,20000000 
81,Croatia,18527967 
82,Suriname,16401000 
83,Estonia,16000000 
84,Greece,15748131 
85,Myanmar,15634000 
86,Czech Republic (Czechia),15586333 
87,Niger,13497000 
88,Portugal,12932000 
89,Chile,12858497 
90,Finland,12582000 
91,Slovakia,12541000 
92,Sweden,12411000 
93,Guatemala,12032702 
94,Lithuania,10336000 
95,Israel,5977000 
96,Bulgaria,5339000 
97,Mauritania,4836066 
98,Paraguay,4174000 
99,Bangladesh,4105000 
100,Uruguay,2217000 
101,Belize,2000000 
102,Costa Rica,1571000 
103,Switzerland,1496000 
104,Latvia,1059000 
105,Barbados,1000000 
106,Kyrgyzstan,972000 
107,Kenya,824000 
108,Zimbabwe,819000 
109,Eswatini,775000 
110,Jamaica,707000 
111,Mauritius,517000 
112,Malawi,517000 
113,Panama,446000 
114,Jordan,403000 
115,Georgia,394000 
116,Ethiopia,354000 
117,Ireland,283000 
118,Mozambique,281000 
119,Bosnia and Herzegovina,248000 
120,North Macedonia,240000 
121,Tajikistan,173000 
122,Zambia,170000 
123,Morocco,160000 
124,North Korea,137000 
125,Hong Kong,100000 
126,Cyprus,10000 
127,Slovenia,5000 
